param,ALF,CXP,CBA,EUS,JAT,RGA,SJC,SLZ,SMS,VSS
ScaleH,3.17,2.85,2.63,3.39,3.00,2.95,2.86,3.09,2.65,2.59
ScaleD,3.05,2.85,2.43,2.75,2.76,2.87,2.84,2.28,2.71,2.17
ScaleZ,2.92,3.31,2.44,2.90,3.28,3.59,2.8,3.66,2.73,2.38
OffsetH,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102,0.102
OffsetD,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001
OffsetZ,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001
cte1,0.00477025,0.00477025,0.00477025,0.00477025,0.00477025,0.00477025,0.00477025,0.00477025,0.00477025,0.00477025
cte2,0.06751758,0.06751758,0.06751758,0.06751758,0.06751758,0.06751758,0.06751758,0.06751758,0.06751758,0.06751758
